iter	Passed	Remaining
0	140	140819
1	142	71283
2	145	48246
3	147	36604
4	148	29593
5	150	24903
6	152	21573
7	154	19142
8	156	17185
9	157	15610
10	159	14324
11	161	13264
12	162	12348
13	164	11595
14	166	10929
15	168	10357
16	170	9855
17	172	9389
18	173	8973
19	175	8611
20	177	8264
21	178	7948
22	180	7660
23	182	7404
24	183	7171
25	185	6947
26	187	6742
27	188	6546
28	190	6369
29	192	6208
30	193	6051
31	195	5907
32	196	5772
33	198	5648
34	200	5522
35	201	5405
36	203	5292
37	204	5184
38	206	5090
39	208	5002
40	210	4912
41	211	4826
42	213	4748
43	215	4672
44	216	4596
45	218	4522
46	219	4454
47	221	4387
48	222	4326
49	224	4267
50	226	4206
51	227	4149
52	229	4107
53	231	4061
54	233	4011
55	235	3964
56	237	3922
57	238	3880
58	240	3837
59	242	3794
60	243	3754
61	245	3717
62	247	3684
63	249	3655
64	251	3622
65	253	3590
66	255	3555
67	257	3522
68	258	3489
69	260	3459
70	262	3432
71	264	3409
72	266	3388
73	268	3361
74	270	3332
75	271	3303
76	273	3274
77	274	3247
78	276	3226
79	278	3201
80	280	3177
81	281	3152
82	283	3129
83	285	3109
84	286	3088
85	288	3069
86	290	3050
87	292	3031
88	294	3012
89	296	2993
90	298	2976
91	300	2962
92	301	2944
93	303	2927
94	305	2909
95	307	2895
96	309	2880
97	311	2862
98	312	2848
99	314	2834
100	316	2820
101	318	2807
102	320	2794
103	322	2781
104	325	2771
105	327	2760
106	329	2747
107	331	2734
108	332	2718
109	334	2703
110	335	2690
111	338	2684
112	340	2671
113	342	2663
114	344	2651
115	346	2638
116	347	2624
117	349	2612
118	351	2600
119	353	2589
120	354	2577
121	356	2565
122	358	2553
123	359	2541
124	361	2532
125	363	2521
126	365	2510
127	366	2498
128	368	2489
129	370	2478
130	372	2467
131	373	2456
132	375	2448
133	377	2440
134	379	2429
135	381	2421
136	382	2411
137	384	2402
138	386	2392
139	387	2383
140	389	2374
141	392	2368
142	393	2360
143	395	2351
144	397	2343
145	399	2337
146	401	2331
147	403	2322
148	405	2315
149	407	2306
150	408	2297
151	410	2290
152	412	2282
153	414	2277
154	416	2269
